Species ,Sex (if known),Age (if known),Start Time,End Time,Type of Call,Quality of Segment,Notes
A. jubatus,,A,0,1,growl,0,
A. jubatus,,A,1,5,,0,
A. jubatus,,A,6,11,growl,0,
A. jubatus,,A,11,16,,0,
A. jubatus,,A,16,19,growl,0,
A. jubatus,,A,24,35,growl?,0,
A. jubatus,,A,49,63,growl?,1,
A. jubatus,,A,66,68,growl,0,
A. jubatus,,A,70,71,,0,
A. jubatus,,A,73,78,growl,0,
A. jubatus,,A,82,87,growl,0,
A. jubatus,,A,88,90,,0,
A. jubatus,,A,105,109,,0,
A. jubatus,,A,109,122,growl?,0,might have some other types of calls mixed in
A. jubatus,,A,127,134,growl,0,
A. jubatus,,A,136,141,growl,0,
A. jubatus,,A,148,150,growl,0,
