Species ,Sex (if known),Age (if known),Start Time,End Time,Type of Call,Quality of Segment,Notes
L. lynx,Male,Adult,0,1,roar,1,
L. lynx,Male,Adult,2,4,growl,1,
L. lynx,Male,Adult,5,7,,1,
L. lynx,Male,Adult,8,14,growl,1,
L. lynx,Male,Adult,18,19,roar,1,
L. lynx,Male,Adult,20,25,call,1,
L. lynx,Male,Adult,28,32,growl,1,
L. lynx,Male,Adult,53,54,roar?,1,
L. lynx,Male,Adult,55,61,growl,1,
L. lynx,Male,Adult,75,78,growl,1,
L. lynx,Male,Adult,78,79,roar?,1,
L. lynx,Male,Adult,83,84,roar?,1,
L. lynx,Male,Adult,86,90,growl,1,
L. lynx,Male,Adult,93,99,growl,1,
