Species,Sex (if known),Age (if known),Start Time(seconds,End Time(seconds),Type of Call,Quality of Segment,Notes
Ocelot,Male,Adult,6.246,6.95,main call,0,
Ocelot,Male,Adult,8.797,9.677,main call,0,
Ocelot,Male,Adult,10.821,11.525,main call,0,
Ocelot,Male,Adult,18.211,19.09,main call,0,
Ocelot,Male,Adult,20.586,21.202,main call,0,
Ocelot,Male,Adult,21.642,22.257,main call,0,
Ocelot,Male,Adult,22.697,23.753,main call,0,
Ocelot,Male,Adult,24.369,25.425,main call,0,
Ocelot,Male,Adult,26.92,28.328,main call,0,
Ocelot,Male,Adult,29.472,30.527,main call,0,
Ocelot,Male,Adult,31.847,33.43,main call,0,
Ocelot,Male,Adult,34.398,36.069,main call,0,
Ocelot,Male,Adult,36.685,41.7,main call,0,
Ocelot,Male,Adult,42.667,44.427,main call,0,
Ocelot,Male,Adult,45.307,46.362,main call,0,
Ocelot,Male,Adult,47.946,53.576,main call,0,
Ocelot,Male,Adult,55.6,56.479,main call,0,
Ocelot,Male,Adult,59.119,60.79,main call,0,
Ocelot,Male,Adult,63.165,66.86,main call,0,
Ocelot,Male,Adult,67.476,69.412,main call,0,
Ocelot,Male,Adult,70.203,71.699,main call,0,
Ocelot,Male,Adult,73.634,74.426,main call,0,
Ocelot,Male,Adult,75.57,76.362,main call,0,
Ocelot,Male,Adult,77.769,80.32,main call,0,
Ocelot,Male,Adult,81.64,82.784,main call,0,
Ocelot,Male,Adult,85.423,87.534,main call,0,
Ocelot,Male,Adult,89.294,96.508,main call,0,
Ocelot,Male,Adult,97.563,98.795,main call,0,
Ocelot,Male,Adult,99.675,101.698,main call,0,
Ocelot,Male,Adult,102.314,103.721,main call,0,
Ocelot,Male,Adult,105.569,107.152,main call,0,
Ocelot,Male,Adult,107.592,108.472,main call,0,
Ocelot,Male,Adult,110.056,115.422,main call,0,
Ocelot,Male,Adult,117.814,118.694,main call,0,
Ocelot,Male,Adult,121.949,123.796,main call,0,
Ocelot,Male,Adult,124.236,125.468,main call,0,
Ocelot,Male,Adult,126.083,128.371,main call,0,
Ocelot,Male,Adult,133.472,137.52,main call,0,
Ocelot,Male,Adult,138.4,142.447,growl,0,
Ocelot,Male,Adult,143.15,147.021,growl,0,
Ocelot,Male,Adult,147.725,151.42,growl,0,
Ocelot,Male,Adult,152.828,156.786,growl,0,
Ocelot,Male,Adult,157.402,160.481,growl,0,
Ocelot,Male,Adult,161.801,166.2,growl,0,
Ocelot,Male,Adult,167.695,171.214,growl,0,
Ocelot,Male,Adult,171.918,175.085,growl,0,
Ocelot,Male,Adult,176.053,179.66,growl,0,
Ocelot,Male,Adult,181.155,184.85,growl,0,
Ocelot,Male,Adult,185.466,188.281,growl,0,
Ocelot,Male,Adult,189.161,193.208,growl,0,
Ocelot,Male,Adult,194.263,198.574,growl,0,
Ocelot,Male,Adult,199.278,201.829,growl,0,
Ocelot,Male,Adult,203.149,206.844,growl,0,
Ocelot,Male,Adult,207.547,210.275,growl,0,
Ocelot,Male,Adult,210.802,213.09,growl,0,
Ocelot,Male,Adult,215.465,218.808,growl,0,
Ocelot,Male,Adult,219.864,222.679,growl,0,
Ocelot,Male,Adult,223.823,226.198,growl,0,
