Species,Sex (if known),Age (if known),Start Time (seconds),End Time (seconds),Type of Call,Quality of Segment,Notes
Ocelot,Male,Adult,0.268,3.485,growl,0,
Ocelot,Male,Adult,4.356,8.98,growl,0,
Ocelot,Male,Adult,10.99,12.743,growl,0,
Ocelot,Male,Adult,23.253,25.867,growl,0,
Ocelot,Male,Adult,29.821,32.702,growl,0,
Ocelot,Male,Adult,36.321,43.692,call/growl,0,
Ocelot,Male,Adult,45.367,47.378,growl,0,
Ocelot,Male,Adult,51.935,55.62,growl,0,
Ocelot,Male,Adult,57.162,58.1,call/growl,0,
Ocelot,Male,Adult,63.193,66.945,call/growl,0,
Ocelot,Male,Adult,66.878,70.162,growl,0,
Ocelot,Male,Adult,75.858,79.41,call/growl,0,
Ocelot,Male,Adult,83.162,86.044,call,0,
Ocelot,Male,Adult,86.393,93.229,growl,0,
Ocelot,Male,Adult,93.296,95.708,growl,0,
Ocelot,Male,Adult,98.255,99.662,growl,0,
Ocelot,Male,Adult,104.755,106.229,growl,0,
Ocelot,Male,Adult,114.271,120.838,growl,0,
Ocelot,Male,Adult,123.317,124.993,growl,0,
