Amp_range,Avg_amp,Freq_range,Pulses_per_Sec,Partials,MFCC,Duration,Zero_Crossings,Sex,Age,Species,Call
0.08331302,0.015950806,848.0,263.0,2,-10.254556,1,706,,A,A. jubatus,growl
0.296424,0.035484593,3645.5,452.25,21,-10.254556,4,3456,,A,A. jubatus,
0.1718598,0.022913339,2181.8,308.0,8,-10.254556,5,2984,,A,A. jubatus,growl
0.24393299,0.023586733,3437.0,314.0,11,-10.254556,5,3108,,A,A. jubatus,
0.19465274,0.029304005,2189.0,331.0,5,-10.254556,3,1919,,A,A. jubatus,growl
0.16567473,0.019104287,2344.545454545455,198.45454545454547,11,-10.254556,11,4722,,A,A. jubatus,growl?
0.21630646,0.016515331,2335.0714285714284,151.42857142857142,8,-10.254556,14,5581,,A,A. jubatus,growl?
0.1565927,0.013280695,1070.0,157.0,4,-10.254556,2,1269,,A,A. jubatus,growl
0.06126169,0.012218192,893.0,227.0,1,-10.254556,1,595,,A,A. jubatus,
0.087943055,0.013818373,2005.8,163.8,5,-10.254556,5,2342,,A,A. jubatus,growl
0.076030254,0.01601943,2053.2000000000003,121.2,4,-10.254556,5,1880,,A,A. jubatus,growl
0.19585067,0.013376198,2130.0,237.0,4,-10.254556,2,1239,,A,A. jubatus,
0.3336851,0.010414529,3392.0,235.5,5,-10.254556,4,3686,,A,A. jubatus,
0.1958753,0.019107636,10234.76923076923,210.3846153846154,13,-10.254556,13,9331,,A,A. jubatus,growl?
0.53709096,0.024094792,10179.0,274.2857142857143,15,-10.254556,7,4701,,A,A. jubatus,growl
0.15822224,0.022732906,10064.2,250.8,10,-10.254556,5,3214,,A,A. jubatus,growl
0.05160574,0.009833701,841.5,106.0,1,-10.254556,2,1028,,A,A. jubatus,growl
0.02699211,0.0026631788,696.0,303.0,0,-16.413774,1,4119,G (1 M and 2F),A,A. jubatus,growl
0.34064177,0.010284325,10328.6,727.8,27,-16.413774,5,15952,G (1 M and 2F),A,A. jubatus,hiss
0.10427065,0.016460506,2355.0,415.5,3,-16.413774,2,2343,G (1 M and 2F),A,A. jubatus,growl
0.14001684,0.0241031,7153.25,627.5,8,-16.413774,4,5413,G (1 M and 2F),A,A. jubatus,growl
0.20968984,0.034289367,7377.6,742.2,5,-16.413774,5,6327,G (1 M and 2F),A,A. jubatus,growl
0.20528479,0.009120993,3675.5,621.5,2,-16.413774,2,4650,G (1 M and 2F),A,A. jubatus,growl
0.31195995,0.012400473,9976.0,708.0,0,-16.413774,1,4000,G (1 M and 2F),A,A. jubatus,hiss
0.0534808,0.0068889456,2838.333333333333,392.6666666666667,2,-16.413774,3,5707,G (1 M and 2F),A,A. jubatus,growl
0.12894145,0.007897553,4081.8,551.8,2,-16.413774,5,9898,G (1 M and 2F),A,A. jubatus,growl
0.21199481,0.017937785,6915.333333333333,819.6666666666666,8,-16.413774,3,6549,G (1 M and 2F),A,A. jubatus,growl
0.30015984,0.04570225,9401.0,855.4615384615385,29,-16.413774,13,18479,G (1 M and 2F),A,A. jubatus,growl
0.23775099,0.015460212,4183.666666666666,582.6666666666666,4,-16.413774,3,5858,G (1 M and 2F),A,A. jubatus,growl
0.2291997,0.009618232,6343.0,947.0,2,-16.413774,1,3110,G (1 M and 2F),A,A. jubatus,hiss
0.2174058,0.013403652,6231.714285714285,927.8571428571429,14,-21.168457,7,20388,P,A,A. jubatus,
0.06403363,0.008044723,4192.0,1096.0,2,-21.168457,1,3183,P,A,A. jubatus,
0.13191573,0.0029344144,2795.777777777778,152.77777777777777,0,-21.168457,9,17105,P,A,A. jubatus,growl?
0.07877052,0.004988188,3756.0,400.0,3,-21.168457,2,4884,P,A,A. jubatus,growl?
0.16936406,0.03027572,3777.0,856.0,13,-21.168457,1,1460,P,A,A. jubatus,growl?
0.1456398,0.0093863625,5191.200000000001,436.6,5,-21.168457,5,10402,P,A,A. jubatus,growl?
0.19828615,0.008184059,4431.375,344.875,3,-21.168457,8,15246,P,A,A. jubatus,growl?
